date,code,name,weight,strategy_weight,position_scale
2021-09-01,512890.SH,红利低波,0.5,0.5,1.0
2021-09-02,512890.SH,红利低波,0.5,0.5,1.0
2021-09-02,164824.SZ,印度,0.5,0.5,1.0
2021-09-03,512890.SH,红利低波,0.5,0.5,1.0
2021-09-03,164824.SZ,印度,0.5,0.5,1.0
2021-09-06,512890.SH,红利低波,0.5,0.5,1.0
2021-09-06,164824.SZ,印度,0.5,0.5,1.0
2021-09-07,512890.SH,红利低波,0.5,0.5,1.0
2021-09-07,164824.SZ,印度,0.5,0.5,1.0
2021-09-08,512890.SH,红利低波,0.5,0.5,1.0
2021-09-08,164824.SZ,印度,0.5,0.5,1.0
2021-09-09,512890.SH,红利低波,0.25,0.5,0.5
2021-09-09,164824.SZ,印度,0.25,0.5,0.5
2021-09-10,512890.SH,红利低波,0.25,0.5,0.5
2021-09-10,164824.SZ,印度,0.25,0.5,0.5
2021-09-13,512890.SH,红利低波,0.25,0.5,0.5
2021-09-13,164824.SZ,印度,0.25,0.5,0.5
2021-09-14,512890.SH,红利低波,0.25,0.5,0.5
2021-09-14,164824.SZ,印度,0.25,0.5,0.5
2021-09-15,512890.SH,红利低波,0.25,0.5,0.5
2021-09-15,164824.SZ,印度,0.25,0.5,0.5
2021-09-16,512890.SH,红利低波,0.25,0.5,0.5
2021-09-16,164824.SZ,印度,0.25,0.5,0.5
2021-09-17,512890.SH,红利低波,0.25,0.5,0.5
2021-09-17,164824.SZ,印度,0.25,0.5,0.5
2021-09-22,512890.SH,红利低波,0.25,0.5,0.5
2021-09-22,164824.SZ,印度,0.25,0.5,0.5
2021-09-23,512890.SH,红利低波,0.25,0.5,0.5
2021-09-23,164824.SZ,印度,0.25,0.5,0.5
2021-09-24,512890.SH,红利低波,0.25,0.5,0.5
2021-09-24,164824.SZ,印度,0.25,0.5,0.5
2021-09-27,512890.SH,红利低波,0.25,0.5,0.5
2021-09-27,162411.SZ,华宝油气,0.25,0.5,0.5
2021-09-28,162411.SZ,华宝油气,0.25,0.5,0.5
2021-09-28,164824.SZ,印度,0.25,0.5,0.5
